CarName	enginelocation	cylindernumber	fueltype	aspiration	doornumber	carbody	drivewheel	enginetype	fuelsystem	wheelbase	carlength	carwidth	carheight	curbweight	symboling	enginesize	boreratio	stroke	compressionratio	horsepower	peakrpm	citympg	highwaympg	price
alfa-romero giulia	front	four	gas	std	two	convertible	rwd	dohc	mpfi	88.6	168.8	64.1	48.8	2548	3	130	3.47	2.68	9	111	5000	21	27	13495
alfa-romero stelvio	front	four	gas	std	two	convertible	rwd	dohc	mpfi	88.6	168.8	64.1	48.8	2548	3	130	3.47	2.68	9	111	5000	21	27	16500
alfa-romero Quadrifoglio	front	six	gas	std	two	hatchback	rwd	ohcv	mpfi	94.5	171.2	65.5	52.4	2823	1	152	2.68	3.47	9	154	5000	19	26	16500
audi 100 ls	front	four	gas	std	four	sedan	fwd	ohc	mpfi	99.8	176.6	66.2	54.3	2337	2	109	3.19	3.4	10	102	5500	24	30	13950
audi 100ls	front	five	gas	std	four	sedan	4wd	ohc	mpfi	99.4	176.6	66.4	54.3	2824	2	136	3.19	3.4	8	115	5500	18	22	17450
audi fox	front	five	gas	std	two	sedan	fwd	ohc	mpfi	99.8	177.3	66.3	53.1	2507	2	136	3.19	3.4	8.5	110	5500	19	25	15250
audi 100ls	front	five	gas	std	four	sedan	fwd	ohc	mpfi	105.8	192.7	71.4	55.7	2844	1	136	3.19	3.4	8.5	110	5500	19	25	17710
audi 5000	front	five	gas	std	four	wagon	fwd	ohc	mpfi	105.8	192.7	71.4	55.7	2954	1	136	3.19	3.4	8.5	110	5500	19	25	18920
audi 4000	front	five	gas	turbo	four	sedan	fwd	ohc	mpfi	105.8	192.7	71.4	55.9	3086	1	131	3.13	3.4	8.3	140	5500	17	20	23875
audi 5000s (diesel)	front	five	gas	turbo	two	hatchback	4wd	ohc	mpfi	99.5	178.2	67.9	52	3053	0	131	3.13	3.4	7	160	5500	16	22	17859.167
bmw 320i	front	four	gas	std	two	sedan	rwd	ohc	mpfi	101.2	176.8	64.8	54.3	2395	2	108	3.5	2.8	8.8	101	5800	23	29	16430
bmw 320i	front	four	gas	std	four	sedan	rwd	ohc	mpfi	101.2	176.8	64.8	54.3	2395	0	108	3.5	2.8	8.8	101	5800	23	29	16925
bmw x1	front	six	gas	std	two	sedan	rwd	ohc	mpfi	101.2	176.8	64.8	54.3	2710	0	164	3.31	3.19	9	121	4250	21	28	20970
bmw x3	front	six	gas	std	four	sedan	rwd	ohc	mpfi	101.2	176.8	64.8	54.3	2765	0	164	3.31	3.19	9	121	4250	21	28	21105
bmw z4	front	six	gas	std	four	sedan	rwd	ohc	mpfi	103.5	189	66.9	55.7	3055	1	164	3.31	3.19	9	121	4250	20	25	24565
bmw x4	front	six	gas	std	four	sedan	rwd	ohc	mpfi	103.5	189	66.9	55.7	3230	0	209	3.62	3.39	8	182	5400	16	22	30760
bmw x5	front	six	gas	std	two	sedan	rwd	ohc	mpfi	103.5	193.8	67.9	53.7	3380	0	209	3.62	3.39	8	182	5400	16	22	41315
bmw x3	front	six	gas	std	four	sedan	rwd	ohc	mpfi	110	197	70.9	56.3	3505	0	209	3.62	3.39	8	182	5400	15	20	36880
chevrolet impala	front	three	gas	std	two	hatchback	fwd	l	2bbl	88.4	141.1	60.3	53.2	1488	2	61	2.91	3.03	9.5	48	5100	47	53	5151
chevrolet monte carlo	front	four	gas	std	two	hatchback	fwd	ohc	2bbl	94.5	155.9	63.6	52	1874	1	90	3.03	3.11	9.6	70	5400	38	43	6295
chevrolet vega 2300	front	four	gas	std	four	sedan	fwd	ohc	2bbl	94.5	158.8	63.6	52	1909	0	90	3.03	3.11	9.6	70	5400	38	43	6575
dodge rampage	front	four	gas	std	two	hatchback	fwd	ohc	2bbl	93.7	157.3	63.8	50.8	1876	1	90	2.97	3.23	9.41	68	5500	37	41	5572
dodge challenger se	front	four	gas	std	two	hatchback	fwd	ohc	2bbl	93.7	157.3	63.8	50.8	1876	1	90	2.97	3.23	9.4	68	5500	31	38	6377
dodge d200	front	four	gas	turbo	two	hatchback	fwd	ohc	mpfi	93.7	157.3	63.8	50.8	2128	1	98	3.03	3.39	7.6	102	5500	24	30	7957
dodge monaco (sw)	front	four	gas	std	four	hatchback	fwd	ohc	2bbl	93.7	157.3	63.8	50.6	1967	1	90	2.97	3.23	9.4	68	5500	31	38	6229
dodge colt hardtop	front	four	gas	std	four	sedan	fwd	ohc	2bbl	93.7	157.3	63.8	50.6	1989	1	90	2.97	3.23	9.4	68	5500	31	38	6692
dodge colt (sw)	front	four	gas	std	four	sedan	fwd	ohc	2bbl	93.7	157.3	63.8	50.6	1989	1	90	2.97	3.23	9.4	68	5500	31	38	7609
dodge coronet custom	front	four	gas	turbo	two	sedan	fwd	ohc	mpfi	93.7	157.3	63.8	50.6	2191	1	98	3.03	3.39	7.6	102	5500	24	30	8558
dodge dart custom	front	four	gas	std	four	wagon	fwd	ohc	2bbl	103.3	174.6	64.6	59.8	2535	-1	122	3.34	3.46	8.5	88	5000	24	30	8921
dodge coronet custom (sw)	front	four	gas	turbo	two	hatchback	fwd	ohc	mfi	95.9	173.2	66.3	50.2	2811	3	156	3.6	3.9	7	145	5000	19	24	12964
honda civic	front	four	gas	std	two	hatchback	fwd	ohc	1bbl	86.6	144.6	63.9	50.8	1713	2	92	2.91	3.41	9.6	58	4800	49	54	6479
